,regio,count_2014,count_2015,uitgaven_ov,aantal_verdachten,toename_bevolking
0,Aa en Hunze,25280.0,25223.0,220000.0,120.0,-0.002254746835443038
1,Aalburg,12884.0,12980.0,109000.0,140.0,0.007451102142191866
2,Aalsmeer,30918.0,31188.0,554000.0,200.0,0.008732777023093344
3,Aalten,26958.5,26908.0,253000.0,100.0,-0.0018732496244227238
4,Achtkarspelen,27999.5,27995.0,375000.0,160.0,-0.000160717155663494
5,Alblasserdam,19823.0,19900.0,235000.0,100.0,0.003884376734096756
6,Albrandswaard,25108.5,25066.5,308000.0,240.0,-0.0016727403070673278
7,Alkmaar,95057.0,107360.5,4294000.0,890.0,0.12943286659583197
8,Almelo,72375.0,72358.0,731000.0,730.0,-0.00023488773747841105
9,Almere,196472.5,197538.5,9387000.0,2620.0,0.005425695708050745
10,Alphen aan den Rijn,107090.5,107678.0,3479000.0,640.0,0.005486014165588918
11,Alphen-Chaam,9735.0,9838.5,198000.0,30.0,0.010631741140215716
12,Ameland,3584.0,3600.5,21000.0,10.0,0.004603794642857143
13,Amersfoort,151689.0,153041.5,3596000.0,1470.0,0.008916269472407359
14,Amstelveen,86088.5,87882.0,2283000.0,520.0,0.020833212333819268
15,Amsterdam,816344.5,827688.0,86896000.0,9740.0,0.013895481625710714
16,Apeldoorn,157822.0,158562.0,5007000.0,1510.0,0.004688826652811395
17,Appingedam,12037.5,12006.0,140000.0,110.0,-0.002616822429906542
18,Arnhem,151558.0,153055.5,3532000.0,2110.0,0.009880705736417741
19,Assen,67177.5,67113.0,1184000.0,640.0,-0.0009601429049905102
20,Asten,16499.5,16569.5,711000.0,80.0,0.004242552804630443
21,Baarle-Nassau,6605.5,6605.0,260000.0,30.0,-7.569449701006736e-05
22,Baarn,24360.0,24463.5,368000.0,190.0,0.004248768472906404
23,Barendrecht,47449.0,47691.0,975000.0,400.0,0.005100212860123501
24,Barneveld,54427.5,55072.0,208000.0,360.0,0.011841440448302789
25,Bedum,10467.5,10437.0,116000.0,50.0,-0.0029137807499402912
26,Beemster,8906.5,8930.5,263000.0,40.0,0.0026946612024925615
27,Beesel,13564.0,13449.5,190000.0,120.0,-0.008441462695370097
28,Bellingwedde,9037.0,9062.5,139000.0,60.0,0.0028217328759544097
29,Bergeijk,18232.5,18231.0,339000.0,100.0,-8.227067050596462e-05
30,Bergen op Zoom,66369.5,66278.5,2696000.0,640.0,-0.001371111730538877
31,Berkelland,44515.0,44400.5,134000.0,270.0,-0.002572166685386948
32,Bernheze,29709.5,29804.5,594000.0,150.0,0.0031976303875864624
33,Best,28677.0,28856.5,1200000.0,140.0,0.006259371621857237
34,Beuningen,25285.0,25285.5,365000.0,140.0,1.9774569903104608e-05
35,Beverwijk,40137.5,40250.0,1145000.0,260.0,0.002802865151043289
36,het Bildt,10609.0,10558.5,169000.0,70.0,-0.00476010934112546
37,De Bilt,42102.5,42272.0,578000.0,260.0,0.004025889198978683
38,Binnenmaas,28683.0,28713.5,539000.0,160.0,0.0010633476275145556
39,Bladel,19851.5,19917.5,463000.0,110.0,0.003324685792005642
40,Blaricum,9203.0,9467.0,337000.0,40.0,0.02868629794632185
41,Bloemendaal,22157.5,22276.0,462000.0,80.0,0.005348076272142615
42,Bodegraven-Reeuwijk,33059.0,33329.5,417000.0,190.0,0.008182340663661938
43,Boekel,10104.0,10186.5,45000.0,60.0,0.008165083135391923
44,Ten Boer,7465.5,7402.0,20000.0,30.0,-0.008505793315919899
45,Borger-Odoorn,25564.5,25436.5,289000.0,130.0,-0.005006943222046197
46,Borne,21938.0,22167.5,303000.0,100.0,0.010461300027349804
47,Borsele,22573.5,22590.0,291000.0,140.0,0.0007309455777792544
48,Boxmeer,28244.5,28403.5,1339000.0,160.0,0.005629414576289189
49,Boxtel,30328.5,30371.5,406000.0,280.0,0.0014178083320968726
50,Brielle,16389.5,16553.5,450000.0,170.0,0.010006406540773055
51,Bronckhorst,36829.0,36618.0,71000.0,140.0,-0.005729180808601917
52,Brummen,21080.0,20960.5,317000.0,140.0,-0.005668880455407969
53,Brunssum,28807.0,28552.0,776000.0,290.0,-0.008852015135210192
54,Bunnik,14644.0,14717.5,154000.0,60.0,0.005019120458891013
55,Bunschoten,20569.5,20735.0,362000.0,120.0,0.00804589319137558
56,Buren,26068.0,26159.5,1943000.0,150.0,0.003510050636796072
57,Bussum,32750.5,32983.5,329000.0,280.0,0.007114395200073282
58,Capelle aan den IJssel,66328.0,66482.0,3649000.0,940.0,0.002321794717163189
59,Castricum,34324.5,34482.5,634000.0,140.0,0.004603126046992673
60,Coevorden,35652.0,35458.0,302000.0,210.0,-0.0054414899584876025
61,Cranendonck,20443.0,20601.0,706000.0,110.0,0.007728806926576334
62,Cromstrijen,12761.0,12769.5,251000.0,70.0,0.0006660919990596348
63,Cuijk,24716.0,24628.5,1866000.0,190.0,-0.003540216863570157
64,Culemborg,27575.0,27602.0,825000.0,230.0,0.0009791477787851315
65,Dalfsen,27675.5,27796.5,445000.0,90.0,0.004372098065075609
66,Dantumadiel,19044.5,19037.0,440000.0,100.0,-0.0003938144871222663
67,Delft,100538.0,101032.0,1160000.0,1220.0,0.00491356502019137
68,Delfzijl,25553.5,25238.5,415000.0,250.0,-0.01232707848239967
69,Deurne,31712.0,31821.5,685000.0,200.0,0.0034529515640766904
70,Deventer,98431.0,98704.5,1977000.0,900.0,0.0027785961739695826
71,Dinkelland,25937.5,26024.0,817000.0,100.0,0.0033349397590361446
72,Doesburg,11396.0,11345.5,291000.0,90.0,-0.004431379431379431
73,Doetinchem,56414.0,56655.5,705000.0,460.0,0.004280852270712943
74,Dongen,25376.5,25404.0,457000.0,150.0,0.0010836797824759128
75,Dongeradeel,24071.5,23957.5,412000.0,150.0,-0.004735890991421391
76,Dordrecht,118795.0,118850.0,4552000.0,1720.0,0.0004629824487562608
77,Drechterland,19272.0,19347.0,383000.0,100.0,0.003891656288916563
78,Drimmelen,26699.0,26759.0,804000.0,130.0,0.0022472751788456496
79,Dronten,40388.0,40477.5,978000.0,260.0,0.0022160047538872935
80,Druten,18252.0,18350.5,295000.0,100.0,0.00539666885820732
81,Duiven,25578.5,25490.5,425000.0,130.0,-0.00344038938952636
82,Echt-Susteren,31961.5,31945.0,808000.0,260.0,-0.0005162461085994087
83,Edam-Volendam,29003.5,29155.5,265000.0,120.0,0.0052407468064199145
84,Ede,111115.5,112001.0,4964000.0,890.0,0.007969185217183922
85,Eemnes,8793.0,8842.0,238000.0,50.0,0.00557261457977937
86,Eemsmond,15849.0,15792.5,160000.0,110.0,-0.0035648936841441103
87,Eersel,18265.0,18449.0,395000.0,110.0,0.010073911853271283
88,Eijsden-Margraten,24973.0,25045.0,325000.0,110.0,0.002883113762863893
89,Eindhoven,222064.5,223982.0,17306000.0,2410.0,0.008634878605089963
90,Elburg,22744.0,22886.0,349000.0,120.0,0.006243404854027436
91,Emmen,107913.5,107679.5,1367000.0,790.0,-0.002168403397165322
92,Enkhuizen,18360.5,18400.0,648000.0,130.0,0.0021513575338362244
93,Enschede,158569.5,158452.0,330000.0,1570.0,-0.0007410000031531915
94,Epe,32282.5,32248.0,1102000.0,230.0,-0.0010686904669712693
95,Ermelo,26117.5,26348.5,592000.0,250.0,0.008844644395520245
96,Etten-Leur,42430.0,42667.5,1135000.0,220.0,0.0055974546311572
97,Ferwerderadiel,8764.0,8719.5,85000.0,40.0,-0.0050775901414879055
98,Franekeradeel,20386.5,20296.5,403000.0,140.0,-0.004414686189390038
99,Geertruidenberg,21572.5,21602.0,513000.0,140.0,0.0013674817475953182
100,Geldermalsen,26311.5,26334.5,434000.0,160.0,0.0008741424852250917
101,Geldrop-Mierlo,38866.5,38886.0,1542000.0,280.0,0.0005017174173131102
102,Gemert-Bakel,29414.0,29580.0,279000.0,210.0,0.005643571088597267
103,Gennep,17283.0,17182.5,271000.0,130.0,-0.005814962680090262
104,Giessenlanden,14453.0,14504.0,153000.0,70.0,0.0035286791669549575
105,Gilze en Rijen,26067.0,26108.5,322000.0,180.0,0.0015920512525415275
106,Goeree-Overflakkee,48225.5,48263.5,1983000.0,310.0,0.0007879648733553825
107,Goes,37053.5,37180.0,919000.0,370.0,0.003413982484785513
108,Goirle,23056.0,23062.5,335000.0,110.0,0.0002819222761970854
109,Gorinchem,35290.0,35299.0,2330000.0,400.0,0.0002550297534712383
110,Gouda,71023.0,71147.0,3699000.0,900.0,0.0017459132956929445
111,Grave,12767.5,12741.5,904000.0,140.0,-0.002036420599177599
112,Groesbeek,18970.0,34416.0,355000.0,110.0,0.8142329994728519
113,Groningen (gemeente),199326.5,200644.0,149000.0,2150.0,0.006609758361281616
114,Grootegast,12144.0,12139.0,125000.0,70.0,-0.00041172595520421606
115,Gulpen-Wittem,14490.5,14502.5,253000.0,80.0,0.0008281287740243608
116,Haaksbergen,24325.5,24319.5,1321000.0,100.0,-0.0002466547450206573
117,Haaren,13555.0,13546.5,126000.0,60.0,-0.0006270748801180376
118,Haarlem,155896.0,157392.5,12612789.0,990.0,0.009599348283471032
119,Haarlemmerliede en Spaarnwoude,5554.5,5576.0,125000.0,20.0,0.003870735439733549
120,Haarlemmermeer,144106.5,144335.0,2656000.0,730.0,0.0015856328479284419
121,Halderberge,29412.0,29507.5,483000.0,180.0,0.0032469740242078065
122,Hardenberg,59577.0,59632.0,469000.0,220.0,0.0009231750507746278
123,Harderwijk,45754.0,45871.0,913000.0,360.0,0.0025571534729204003
124,Hardinxveld-Giessendam,17780.0,17788.0,618000.0,70.0,0.0004499437570303712
125,Haren,18853.0,19000.0,116000.0,70.0,0.007797167559539596
126,Harlingen,15800.0,15796.0,805000.0,120.0,-0.00025316455696202533
127,Hattem,11776.5,11855.5,185000.0,70.0,0.006708274954358256
128,Heemskerk,39113.0,39218.5,899000.0,200.0,0.0026973129138649554
129,Heemstede,26422.0,26623.0,393000.0,90.0,0.007607296949511771
130,Heerde,18501.0,18534.0,345000.0,120.0,0.0017836873682503648
131,Heerenveen,50020.0,50215.5,90000.0,300.0,0.00390843662534986
132,Heerhugowaard,53430.5,53740.5,772000.0,490.0,0.005801929609492705
133,Heerlen,87879.5,87453.0,9121000.0,1300.0,-0.004853236534117741
134,Heeze-Leende,15415.0,15563.5,237000.0,70.0,0.00963347388906909
135,Heiloo,22594.5,22621.0,374000.0,130.0,0.0011728518002168669
136,Den Helder,56540.0,56379.0,2044000.0,590.0,-0.002847541563494871
137,Hellendoorn,35666.5,35636.5,709000.0,120.0,-0.0008411254258197468
138,Hellevoetsluis,38917.5,38758.0,1369000.0,520.0,-0.00409841331020749
139,Helmond,89487.0,89922.5,3015000.0,850.0,0.004866628672321119
140,Hendrik-Ido-Ambacht,29033.5,29282.0,582000.0,150.0,0.008559078306094684
141,Heumen,16358.5,16371.5,209000.0,60.0,0.0007946938900265917
142,Heusden,43148.5,43203.0,1108406.0,360.0,0.001263079828962768
143,Hillegom,21022.5,21095.0,599000.0,130.0,0.0034486859317398024
144,Hilvarenbeek,15067.0,15103.0,327000.0,50.0,0.00238932766974182
145,Hof van Twente,34957.0,34899.0,424000.0,120.0,-0.0016591812798581113
146,Hollands Kroon,47524.0,47546.0,1022000.0,260.0,0.00046292399629660805
147,Hoogeveen,54762.0,55050.0,2204000.0,460.0,0.0052591212884847156
148,Hoogezand-Sappemeer,34319.0,34255.5,630000.0,320.0,-0.001850287013024855
149,Hoorn,71791.5,72026.0,2874000.0,700.0,0.0032664034043027377
150,Horst aan de Maas,41694.0,41668.0,178000.0,260.0,-0.0006235909243536241
151,Houten,48529.0,48701.0,895000.0,240.0,0.0035442724968575492
152,Huizen,41280.0,41344.0,935000.0,370.0,0.0015503875968992248
153,Hulst,27374.0,27366.0,930000.0,180.0,-0.0002922481186527362
154,IJsselstein,34168.0,34081.0,342000.0,260.0,-0.0025462420978693513
155,Kaag en Braassem,25794.5,25976.0,62000.0,120.0,0.007036383725212739
156,Kampen,51262.0,51691.0,1326000.0,270.0,0.00836877218992626
157,Kapelle,12522.5,12592.0,19000.0,60.0,0.005550009982032342
158,Kerkrade,46654.0,46273.5,2404000.0,560.0,-0.008155785141681313
159,Koggenland,22455.5,22448.5,509000.0,110.0,-0.00031172763910845895
160,Kollumerland en Nieuwkruisland,12856.5,12823.0,318000.0,80.0,-0.002605685839847548
161,Korendijk,10740.0,10801.5,47000.0,50.0,0.0057262569832402235
162,Krimpen aan den IJssel,28897.5,29012.0,672000.0,240.0,0.003962280474089454
163,Laarbeek,21857.5,21939.0,387000.0,120.0,0.003728697243509093
164,Landerd,15278.0,15296.5,187000.0,90.0,0.001210891477942139
165,Landgraaf,37514.5,37460.5,1358000.0,320.0,-0.0014394434152127844
166,Landsmeer,10633.5,10900.0,214000.0,70.0,0.025062303098697513
167,Langedijk,27111.0,27367.0,90000.0,140.0,0.009442661650252666
168,Lansingerland,57627.5,58584.0,1654000.0,460.0,0.016597978395731204
169,Leek,19537.5,19507.0,567000.0,120.0,-0.001561100447856686
170,Leerdam,20579.0,20639.5,595000.0,200.0,0.0029398901793090044
171,Leeuwarden,107516.5,107794.0,4462000.0,1330.0,0.002580999195472323
172,Leeuwarderadeel,10249.5,10198.0,113000.0,40.0,-0.005024635348065759
173,Leiden,121362.5,122061.5,2679000.0,1410.0,0.005759604490678752
174,Leiderdorp,26833.0,26910.5,362000.0,220.0,0.002888234636455111
175,Leidschendam-Voorburg,73667.5,74101.0,1993000.0,750.0,0.005884548817321071
176,Lelystad,76280.0,76605.0,1349000.0,1030.0,0.004260618772941794
177,Leudal,36231.5,36192.0,626000.0,290.0,-0.001090211556242496
178,Leusden,29029.5,29185.5,368000.0,160.0,0.005373843848498941
179,Lingewaal,11069.5,11095.5,125000.0,80.0,0.002348796241926013
180,Lingewaard,45782.0,45869.0,2148000.0,260.0,0.0019003101655672536
181,Lisse,22437.5,22572.5,408000.0,140.0,0.0060167130919220055
182,Littenseradiel,10902.5,10856.0,92000.0,50.0,-0.004265076817243751
183,Lochem,33246.0,33288.5,491000.0,170.0,0.001278349275100764
